ID,Case Number,Date,Latitude,Longitude
5019682,HM628148,01-01-2004 00:01,,
5022500,HM628169,12-03-2004 00:01,,
5022547,HM627977,01-01-2004 12:00,,
5022771,HM631507,06-03-2002 12:00,,
4897138,HM512864,12-09-2003 09:00,41.85275005,-87.6408156
4897978,HM513230,05-01-2003 12:00,41.87658579,-87.76018857
5024718,HM633986,02/28/2001 12:30:00 AM,41.9021611,-87.69053342
5032094,HM640633,01-01-2004 00:01,,
5032047,HM638296,04/15/2001 03:00:00 PM,41.95054562,-87.70410507
5033686,HM594320,09-01-2002 00:00,,
5032467,HM626261,10-01-2002 15:00,,
5033985,HM628345,01-01-2001 09:00,41.9094083,-87.7544395
5034612,HM637876,02-02-2002 00:00,,
5036565,HM642723,02-01-2003 15:00,,
4908440,HM525021,01-01-2003 00:00,41.87754033,-87.68721108
5038957,HM553333,01-02-2003 00:00,,
4912131,HM527786,07-01-2003 09:00,41.71997331,-87.6663563
5039601,HM648439,03-01-2004 09:00,,
5040487,HM649832,12/19/2003 09:00:00 AM,,
5040517,HM649944,07/29/2003 08:00:00 AM,,
5040574,HM650120,05/30/2001 12:00:00 PM,41.91252142,-87.75959165
5041788,HM646587,11-01-2001 12:00,41.7982993,-87.59986504
4916432,HM475000,01-01-2003 00:01,41.88065293,-87.63436727
5043940,HM643895,11/25/2003 09:00:00 AM,,
5044499,HM653475,01-01-2001 00:00,41.7992636,-87.67095526
5047692,HM655780,10-02-2002 01:00,,
5047914,HM655854,12-01-2001 00:00,41.71069337,-87.56711622
5047993,HM652116,01-01-2003 00:00,,
5049052,HM655975,02-01-2004 14:00,,
5049941,HM657473,12/18/2002 12:01:00 AM,,
5071098,HM678237,01-01-2003 00:00,,
5052200,HM660066,07/15/2003 12:01:00 AM,,
5052224,HM660159,06-01-2004 00:00,,
5052244,HM659800,07-01-2002 15:00,,
4924968,HM538116,08-01-2003 00:00,41.72100567,-87.64320269
5053882,HM659812,12-10-2004 10:00,,
5054256,HM658103,01-01-2002 21:00,,
5055852,HM663848,01-01-2003 00:00,,
5059247,HM661782,04/15/2002 07:30:00 AM,,
5059839,HM667316,03-01-2004 00:00,,
5060485,HM667712,08/25/2004 08:00:00 AM,,
5060504,HM667765,05/15/2003 12:00:00 PM,,
5062069,HM669095,03/31/2001 12:00:00 AM,41.89842008,-87.7272583
5063447,HM669279,12-12-2004 11:59,,
4934110,HM548212,01-05-2003 09:00,41.71591082,-87.65588261
5065590,HM671756,01-01-2002 00:00,,
5065961,HK799039,12-09-2004 12:52,,
4935122,HM547273,11-01-2003 09:00,41.91221187,-87.73129041
5066296,HM669623,01-03-2004 00:00,,
5066335,HM667375,01-01-2004 00:00,,
5066529,HM667066,09-01-2004 09:00,,
4936228,HM552511,08/20/2003 02:00:00 PM,41.76522615,-87.6104137
5067574,HM669891,01-01-2001 14:00,41.9090436,-87.72270523
5067889,HM671570,03-04-2004 00:00,,
5070272,HM671449,01-01-2004 00:01,,
5070847,HM677527,11-01-2001 00:00,41.94951846,-87.64696326
5071649,HM678005,07-01-2001 00:00,41.88279564,-87.7667468
5071769,HM677726,10-01-2001 00:01,41.76498567,-87.59248104
4942268,HM541316,01-01-2003 00:01,41.74571577,-87.55763785
5072755,HM678883,01-01-2003 00:01,,
4942948,HM556279,12-01-2003 00:00,41.80520178,-87.73330193
5073716,HM679854,12/27/2001 09:00:00 AM,41.93946416,-87.67804816
5074838,HM681141,10-10-2003 00:00,,
5075137,HM681262,02-04-2004 00:01,,
5075217,HM681476,05-03-2003 00:00,,
5076190,HM680872,02/19/2003 12:00:00 PM,,
4946529,HM560202,10-01-2003 00:01,41.75121488,-87.57109815
5076557,HM682729,08/31/2004 12:00:00 AM,,
5076883,HM678994,01-06-2003 09:00,,
4947271,HM561017,01-01-2003 00:00,41.869565,-87.71963356
5077847,HM681005,01-01-2002 00:00,,
5077956,HM683381,08/26/2002 12:00:00 AM,,
4947630,HM561130,11/20/2003 09:00:00 AM,41.86155927,-87.65976218
5078367,HM683468,03/18/2004 09:00:00 AM,,
5082695,HM683104,01/15/2002 06:00:00 PM,,
5085109,HM690336,08/31/2004 12:00:00 AM,,
5086585,HM690786,01-01-2004 00:00,,
5086798,HM691328,01-01-2002 00:01,,
5226992,HN104658,01-03-2002 09:00,,
5087119,HM690447,11-12-2003 12:00,,
4955978,HM569372,11-01-2003 12:00,41.89658827,-87.77122356
5088134,HM692663,01/17/2002 06:00:00 PM,,
4956456,HM569642,01-01-2003 00:01,41.87720995,-87.71595092
5088776,HM693036,10-01-2001 00:00,41.79627016,-87.66207088
4956765,HM570017,09-01-2003 00:01,41.85692048,-87.73332897
5089458,HM690625,01-01-2003 00:01,,
5089469,HM693542,11-11-2002 08:00,,
5089933,HM689065,01-01-2003 09:00,,
4958701,HM571519,04/30/2003 09:00:00 AM,41.81136099,-87.69185288
5091512,HM695128,01-01-2001 00:00,41.78916563,-87.66308372
5091987,HM695399,06/17/2003 12:01:00 AM,,
5092447,HM696013,03-01-2001 08:00,41.7301665,-87.6506039
5093738,HM696871,06-01-2003 11:00,,
5095813,HM698550,06/15/2003 12:00:00 AM,,
5095748,HM694645,05/27/2003 08:00:00 AM,,
4963554,HM567766,08/28/2003 09:00:00 AM,41.92824426,-87.74893334
5098662,HM700582,11-02-2002 08:00,,
5099117,HM676806,01-01-2003 00:00,,
5099304,HM701560,11-03-2003 00:30,,
4966803,HM577236,03-01-2003 00:00,41.70504661,-87.64856991
5100309,HM690907,01-01-2003 08:00,,
5100956,HM703010,12-02-2004 12:00,,
5101703,HM702771,06/25/2004 06:00:00 PM,,
4968382,HM556556,03/27/2003 03:00:00 PM,41.92856157,-87.76457807
5102780,HM704651,11-01-2003 00:01,,
4969681,HM583166,10/25/2003 12:00:00 AM,41.87437456,-87.72406344
